API or Message Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Platform Notes,History,Unicode,Status as of 10/28
GetStringTypeA,New,Yes,Yes,Kernel/NLS,kernel32.lib,,New,Unicode,available
GetStringTypeEx,New,No,New,Kernel/NLS,kernel32.lib,,New,No,
GetStringTypeW,Yes,No,No,Kernel/NLS,kernel32.lib,,New,Unicode,
GetSystemDefaultLangID,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,,New,No,available
GetSystemDefaultLCID,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,,New,No,available
GetThreadLocale,Yes,No,No,Kernel/NLS,kernel32.lib,"""Chicago: Locales are static & can change only at system boot""",New,No,
GetTimeFormat,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,,,Yes,available
GetTimeFormatA,New,Yes,New,Kernel/NLS,kernel32.lib,,New,No,available
GetTimeFormatW,Yes,No,No,Kernel/NLS,kernel32.lib,,New,No,
GetUserDefaultLangID,Yes,Yes,New,Kernel/NLS,kernel32.lib,,New,No,available
GetUserDefaultLCID,Yes,Yes,New,Kernel/NLS,kernel32.lib,,New,No,available
IsDBCSLeadByte,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,,Widened,No,available
IsTextUnicode,New,No,New,Kernel/NLS,kernel32.lib,,New,No,
IsValidCodePage,Yes,Yes,No,Kernel/NLS,kernel32.lib,,New,No,available
IsValidLocale,New,No,New,Kernel/NLS,kernel32.lib,,New,No,
LCMapStringA,New,Yes,New,Kernel/NLS,kernel32.lib,,New,Yes,available
LCMapStringW,Yes,No,New,Kernel/NLS,kernel32.lib,,New,Yes,
MultiByteToWideChar,Yes,Yes,No,Kernel/NLS,kernel32.lib,,New,No,available
SetLocaleInfo,New,No,New,Kernel/NLS,kernel32.lib,,New,Yes,
SetThreadLocale,Yes,No,No,Kernel/NLS,kernel32.lib,"""Chicago: Locales are static & can change only at system boot""",New,No,
WideCharToMultiByte,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,,New,No,available
QueryPerformanceCounter,Yes,No,No,Kernel/Perf,kernel32.lib,,,No,
QueryPerformanceFrequency,Yes,No,No,Kernel/Perf,kernel32.lib,,,No,
CallNamedPipe,Yes,Yes,No,Kernel/Pipes,kernel32.lib,,New,Yes,available
ConnectNamedPipe,Yes,No,No,Kernel/Pipes,kernel32.lib,,New,No,
CreateNamedPipe,Yes,No,No,Kernel/Pipes,kernel32.lib,,New,Yes,
DisconnectNamedPipe,Yes,No,No,Kernel/Pipes,kernel32.lib,,New,No,
GetNamedPipeHandleState,Yes,Yes,No,Kernel/Pipes,kernel32.lib,,New,Yes,available
GetNamedPipeInfo,Yes,Yes,No,Kernel/Pipes,kernel32.lib,,New,No,available
PeekNamedPipe,Yes,Yes,No,Kernel/Pipes,kernel32.lib,,New,No,available
SetNamedPipeHandleState,Yes,Yes,No,Kernel/Pipes,kernel32.lib,,New,No,available
TransactNamedPipe,Yes,Yes,No,Kernel/Pipes,kernel32.lib,,New,No,available
WaitNamedPipe,Yes,Yes,No,Kernel/Pipes,kernel32.lib,,New,Yes,available
BeginUpdateResource,Yes,No,No,Kernel/Resources,kernel32.lib,,New,Yes,
EndUpdateResource,Yes,No,No,Kernel/Resources,kernel32.lib,,New,Yes,
EnumResourceLanguages,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,,New,Yes,available
EnumResourceNames,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,,New,Yes,available
EnumResourceTypes,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,,New,Yes,available
FindResource,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,,Widened,Yes,available
FindResourceEx,Yes,Yes,No,Kernel/Resources,kernel32.lib,,New,Yes,available
FreeResource,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,,Widened,No,available
LoadResource,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,,Widened,No,available
LockResource,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,,Widened,No,available
SizeofResource,Yes,Yes,Yes,Kernel/Resources,kernel32.lib,,Widened,No,available
UpdateResource,Yes,No,No,Kernel/Resources,kernel32.lib,,New,Yes,
EnumResLangProc,Yes,Yes,Yes,Kernel/Resources/macro,kernel32.lib,,New,No,available
EnumResNameProc,Yes,Yes,Yes,Kernel/Resources/macro,kernel32.lib,,New,No,available
EnumResTypeProc,Yes,Yes,Yes,Kernel/Resources/macro,kernel32.lib,,New,No,available
CreateEvent,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,Yes,available
CreateMutex,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,Yes,available
CreateSemaphore,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,Yes,available
DeleteCriticalSection,Yes,Yes,Yes,Kernel/Synch,kernel32.lib,,New,No,available
EnterCriticalSection,Yes,Yes,Yes,Kernel/Synch,kernel32.lib,,New,No,available
InitializeCriticalSection,Yes,Yes,Yes,Kernel/Synch,kernel32.lib,,New,No,available
InterlockedDecrement,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
InterlockedExchange,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
InterlockedIncrement,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
LeaveCriticalSection,Yes,Yes,Yes,Kernel/Synch,kernel32.lib,,New,No,available
OpenEvent,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,Yes,available
OpenMutex,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,Yes,available
OpenSemaphore,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,Yes,available
PulseEvent,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
ReleaseMutex,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
ReleaseSemaphore,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
ResetEvent,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
SetEvent,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
WaitForMultipleObjects,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
WaitForMultipleObjectsEx,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
WaitForSingleObject,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
WaitForSingleObjectEx,Yes,Yes,No,Kernel/Synch,kernel32.lib,,New,No,available
ExpandEnvironmentStrings,Yes,No,No,Kernel/SysInfo,kernel32.lib,,New,Yes,
GetComputerName,Yes,Yes,No,Kernel/SysInfo,kernel32.lib,,New,Yes,available
GetVersion,Yes,Yes,Yes,Kernel/SysInfo,kernel32.lib,,Widened,No,available
SetComputerName,Yes,Yes,No,Kernel/SysInfo,kernel32.lib,,New,Yes,available
BackupRead,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
BackupSeek,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
BackupWrite,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
CreateTapePartition,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
EraseTape,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
GetTapeParameters,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
GetTapePosition,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
GetTapeStatus,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
PrepareTape,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
SetTapeParameters,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
SetTapePosition,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
WriteTapemark,Yes,No,No,Kernel/Tape,kernel32.lib,,New,No,
CompareFileTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
DosDateTimeToFileTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
FileTimeToDosDateTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
FileTimeToLocalFileTime,Yes,Yes,No,Kernel/Time,kernel32.lib,,New,No,available
FileTimeToSystemTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
GetFileTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
GetLocalTime,Yes,Yes,No,Kernel/Time,kernel32.lib,,New,No,available
GetSystemTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
GetTickCount,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,Widened,No,available
GetTimeZoneInformation,Yes,Yes,No,Kernel/Time,kernel32.lib,,New,No,Available
LocalFileTimeToFileTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
MulDiv,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,Widened,No,available
SetFileTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
SetLocalTime,Yes,Yes,No,Kernel/Time,kernel32.lib,,New,No,available
SetSystemTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
SetTimeZoneInformation,Yes,Yes,No,Kernel/Time,kernel32.lib,,New,No,Available
SystemTimeToFileTime,Yes,Yes,Yes,Kernel/Time,kernel32.lib,,New,No,available
CopyLZFile,Yes,Yes,Yes,Compression,lz32.lib,,Widened,No,available
GetExpandedName,Yes,Yes,Yes,Compression,lz32.lib,,New,Yes,available
LZClose,Yes,Yes,Yes,Compression,lz32.lib,,Widened,No,available
LZCopy,Yes,Yes,Yes,Compression,lz32.lib,,Widened,No,available
LZDone,Yes,Yes,Yes,Compression,lz32.lib,,Widened,No,available
LZInit,Yes,Yes,Yes,Compression,lz32.lib,,Widened,No,available
LZOpenFile,Yes,Yes,Yes,Compression,lz32.lib,,Widened,Yes,available
LZRead,Yes,Yes,Yes,Compression,lz32.lib,,Widened,No,available
LZSeek,Yes,Yes,Yes,Compression,lz32.lib,,Widened,No,available
LZStart,Yes,Yes,Yes,Compression,lz32.lib,,Widened,No,available
WNetAddConnection,Yes,Yes,No,Networking,mpr.lib,,New,Yes,available
WNetAddConnection2,Yes,Yes,No,Networking,mpr.lib,,New,Yes,available
