object,comments,href,win16,win32,mac,unix,ce
|general_comments|,||,||,||,||,||,||
|style_comments|,||,||,||,||,||,||
|BODY|,||,|/workshop/author/dhtml/reference/objects/BODY.htm|,|WIN16~~|,|WIN32~5~|,|M~~|,|U~~|
