ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|DATAFLDTEXT|,|dataFldText|,|/workshop/author/behaviors/library/dataselect/dataFldText.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the name of the field used for the visible <A HREF="/workshop/author/dhtml/reference/properties/text_3.htm">text</A> of the dataselect behavior options.|
|DATAFLDVALUE|,|dataFldValue|,|/workshop/author/behaviors/library/dataselect/dataFldValue.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the name of the field used for the <A HREF="/workshop/author/dhtml/reference/properties/value_1.htm">value</A> of the dataselect behavior options.|
|DATASRC|,|dataSrc|,|/workshop/author/behaviors/library/dataselect/dataSrc.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the source of the data for the dataselect behavior.|
|VALUE|,|value|,|/workshop/author/behaviors/library/dataselect/value.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,12,|Sets or retrieves the initial selected option in the dataselect behavior.|
|null|,|ondatasetcomplete|,|/workshop/author/behaviors/library/dataselect/ondatasetcomplete.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when the dataselect behavior populates the contents of a <A HREF="/workshop/author/dhtml/reference/objects/SELECT.htm">SELECT</A> element.|
