ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|form|,|/workshop/author/dhtml/reference/properties/form.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the form that the object is embedded in.|
|HEIGHT|,|height|,|/workshop/author/dhtml/reference/properties/height_2.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the height of the &lt;OBJECT&gt;.|
|HSPACE|,|hspace|,|/workshop/author/dhtml/reference/properties/hspace.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the horizontal margin for the &lt;OBJECT&gt;.|
|ID|,|id|,|/workshop/author/dhtml/reference/properties/id.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Retrieves the string identifying the &lt;OBJECT&gt;.|
|null|,|isTextEdit|,|/workshop/author/dhtml/reference/properties/isTextEdit.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,11,|Retrieves whether a <A HREF="/workshop/author/dhtml/reference/objects/obj_TextRange.htm">TextRange</A> &lt;OBJECT&gt; can be created using the given object.|
|LANG|,|lang|,|/workshop/author/dhtml/reference/properties/lang.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the language to use.|
|LANGUAGE|,|language|,|/workshop/author/dhtml/reference/properties/language.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the language in which the current script is written.|
|NAME|,|name|,|/workshop/author/dhtml/reference/properties/name_2.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the name of the control, bookmark, or application.|
|null|,|nextSibling|,|/workshop/author/dhtml/reference/properties/nextSibling.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the next child of the parent for the specified object.|
|null|,|nodeName|,|/workshop/author/dhtml/reference/properties/nodeName.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the name of a particular type of node.|
|null|,|nodeType|,|/workshop/author/dhtml/reference/properties/nodeType.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the type of the requested node.|
|null|,|nodeValue|,|/workshop/author/dhtml/reference/properties/nodeValue.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the value of a node.|
