cssattr,prop,propurl,css_desc
|N/A|,|backgroundPositionY|,|/workshop/author/dhtml/reference/properties/backgroundPositionY.htm|,|Sets or retrieves the y-coordinate of the <A HREF="/workshop/author/dhtml/reference/properties/backgroundPosition.htm">backgroundPosition</A> property.|
|border-style|,|borderStyle|,|/workshop/author/dhtml/reference/properties/borderStyle.htm|,|Sets or retrieves the style of the  left, right, top, and bottom borders of the &lt;IFRAME&gt;.|
|N/A|,|posRight|,|/workshop/author/dhtml/reference/properties/posRight.htm|,|Sets or retrieves the right position of the &lt;IFRAME&gt; in the units specified by the cascading style sheets (CSS) <A ID="NEXT_TOPIC" HREF="/workshop/author/dhtml/reference/properties/right_1.htm#right">right</A> attribute.|
|border-top|,|borderTop|,|/workshop/author/dhtml/reference/properties/borderTop.htm|,|Sets or retrieves the properties of the top border of the &lt;IFRAME&gt;.|
|border-top-width|,|borderTopWidth|,|/workshop/author/dhtml/reference/properties/borderTopWidth.htm|,|Sets or retrieves the width of the top border of the &lt;IFRAME&gt;.|
|N/A|,|posWidth|,|/workshop/author/dhtml/reference/properties/posWidth.htm|,|Sets or retrieves the width of the &lt;IFRAME&gt; in the units specified by the cascading style sheets (CSS) <A HREF="/workshop/author/dhtml/reference/properties/width_2.htm#width">width</A> attribute.|
|border-bottom-color|,|borderBottomColor|,|/workshop/author/dhtml/reference/properties/borderBottomColor.htm|,|Sets or retrieves the color of the bottom border of the &lt;IFRAME&gt;.|
|margin-bottom|,|marginBottom|,|/workshop/author/dhtml/reference/properties/marginBottom.htm|,|Sets or retrieves the height of the bottom margin of the &lt;IFRAME&gt;.|
|position|,|position|,|/workshop/author/dhtml/reference/properties/position.htm|,|Retrieves the type of positioning used for the &lt;IFRAME&gt;.|
|clear|,|clear|,|/workshop/author/dhtml/reference/properties/clear_0.htm|,|Sets or retrieves whether the &lt;IFRAME&gt; allows floating objects on its left and/or right sides, so that the next text displays past the floating objects.|
|N/A|,|pixelBottom|,|/workshop/author/dhtml/reference/properties/pixelBottom.htm|,|Sets or retrieves the bottom position of the &lt;IFRAME&gt;.|
|border-left-style|,|borderLeftStyle|,|/workshop/author/dhtml/reference/properties/borderLeftStyle.htm|,|Sets or retrieves the style of the left border of the &lt;IFRAME&gt;.|
|border-right-color|,|borderRightColor|,|/workshop/author/dhtml/reference/properties/borderRightColor.htm|,|Sets or retrieves the color of the right border of the &lt;IFRAME&gt;.|
|border-right|,|borderRight|,|/workshop/author/dhtml/reference/properties/borderRight.htm|,|Sets or retrieves the properties of the right border of the &lt;IFRAME&gt;.|
|N/A|,|posLeft|,|/workshop/author/dhtml/reference/properties/posLeft.htm|,|Sets or retrieves the left position of the &lt;IFRAME&gt; in the units specified by the cascading style sheets (CSS) <A ID="NEXT_TOPIC" HREF="/workshop/author/dhtml/reference/properties/left.htm#left">left</A> attribute.|
|margin|,|margin|,|/workshop/author/dhtml/reference/properties/margin.htm|,|Sets or retrieves the width of the left, right, bottom, and top margins of the &lt;IFRAME&gt;.|
|border-width|,|borderWidth|,|/workshop/author/dhtml/reference/properties/borderWidth.htm|,|Sets or retrieves the width of the left, right, top, and bottom borders of the &lt;IFRAME&gt;.|
|top|,|top|,|/workshop/author/dhtml/reference/properties/top_0.htm|,|Sets or retrieves the position of the &lt;IFRAME&gt; relative to the top of the next positioned object in the document hierarchy.|
|padding-left|,|paddingLeft|,|/workshop/author/dhtml/reference/properties/paddingLeft.htm|,|Sets or retrieves the amount of space to insert between the left border  of the &lt;IFRAME&gt; and the content.|
|border-bottom-style|,|borderBottomStyle|,|/workshop/author/dhtml/reference/properties/borderBottomStyle.htm|,|Sets or retrieves the style of the bottom border of the &lt;IFRAME&gt;.|
|layout-grid|,|layoutGrid|,|/workshop/author/dhtml/reference/properties/layoutGrid.htm|,|Sets or retrieves the composite document grid properties that specify the layout of text characters.|
|N/A|,|posBottom|,|/workshop/author/dhtml/reference/properties/posBottom.htm|,|Sets or retrieves the bottom position of the &lt;IFRAME&gt; in the units specified by the cascading style sheets (CSS) <A ID="TOPIC_CONTENTS" HREF="/workshop/author/dhtml/reference/properties/bottom_1.htm">bottom</A> attribute.|
|border-left-width|,|borderLeftWidth|,|/workshop/author/dhtml/reference/properties/borderLeftWidth.htm|,|Sets or retrieves the width of the left border of the &lt;IFRAME&gt;.|
|border-left|,|borderLeft|,|/workshop/author/dhtml/reference/properties/borderLeft.htm|,|Sets or retrieves the properties of the left border of the &lt;IFRAME&gt;.|
|height|,|height|,|/workshop/author/dhtml/reference/properties/height_1.htm|,|Sets or retrieves the height of the &lt;IFRAME&gt;.|
|layout-grid-mode|,|layoutGridMode|,|/workshop/author/dhtml/reference/properties/layoutGridMode.htm|,|Sets or retrieves whether the text layout grid uses two dimensions.|
|padding-top|,|paddingTop|,|/workshop/author/dhtml/reference/properties/paddingTop.htm|,|Sets or retrieves the amount of space to insert between the top border of the &lt;IFRAME&gt; and the content.|
|padding-bottom|,|paddingBottom|,|/workshop/author/dhtml/reference/properties/paddingBottom.htm|,|Sets or retrieves the amount of space to insert between the bottom border of the &lt;IFRAME&gt; and the content.|
|border-color|,|borderColor|,|/workshop/author/dhtml/reference/properties/borderColor_0.htm|,|Sets or retrieves the border color of the &lt;IFRAME&gt;.|
|border-right-style|,|borderRightStyle|,|/workshop/author/dhtml/reference/properties/borderRightStyle.htm|,|Sets or retrieves the style of the right border of the &lt;IFRAME&gt;.|
|border|,|border|,|/workshop/author/dhtml/reference/properties/border_0.htm|,|Sets or retrieves the properties to be drawn around the &lt;IFRAME&gt;.|
|right|,|right|,|/workshop/author/dhtml/reference/properties/right_1.htm|,|Sets or retrieves the position of the &lt;IFRAME&gt; relative to the right edge of the next positioned object in the document hierarchy.|
