|tech_name:STRING|,|tech_type:STRING|,|tech_image:STRING|,|new_val_desc:STRING|
|Web folders|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P><a href="/workshop/author/behaviors/overview/WebFolder.htm">Web folder</a> behaviors allow users to navigate to a folder view and include support for Distributed Authoring and Versioning (DAV) and Web Extender Client (WEC) protocols. The behaviors enable authors to view sites in a Web folder view, which is similar to the Windows Explorer folder view. This view provides convenient access to folders and files on an HTTP server. The Web folder view also maintains a consistent look and feel when navigating between the local file system, a networked drive, and an Internet Web site.</P>|
|Scripted downloading|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>Ever wanted to download a file through script and be notified when the download is complete? If you're a C++ developer, you have probably known how to do so through the <A HREF="/workshop/networking/moniker/reference/ifaces/ibindstatuscallback/ibindstatuscallback.htm">IBindStatusCallback</A> interface since Internet Explorer 3.0. In Internet Explorer 5, knowledge of C++ and COM is no longer a requirement to dynamically download a file. Similar functionality has been exposed to script developers through the new <A HREF="/workshop/author/behaviors/reference/behaviors/download.htm">DOWNLOAD</A> behavior.</P>|
|Persistence|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>One of the most exciting features of Internet Explorer 5 is the ability to <A href="/workshop/author/persistence/overview.htm">save</A> data on the client system. By using the <a href="/workshop/author/behaviors/reference/behaviors/saveFavorite.htm">saveFavorite</a>, <a href="/workshop/author/behaviors/reference/behaviors/saveHistory.htm">saveHistory</a>, <a href="/workshop/author/behaviors/reference/behaviors/saveSnapshot.htm">saveSnapshot</a>, and <a href="/workshop/author/behaviors/reference/behaviors/userData.htm">userData</a> behaviors, Web authors can persist form data, dynamic positions and content, styles, and script variables. The persistence behaviors can preserve documents exactly as they display. The results are more predictable than relying on <A href="/workshop/author/dhtml/reference/properties/cookie.htm">cookies</A> to maintain designated settings for a document on a remote server. Persistence in Web pages comprises a powerful tool for both Web browsing and Web application development.</P>|
|Cascading style sheets|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>Cascading style sheets (CSS) have extensive object model support through the <A href="/workshop/author/dhtml/reference/objects/currentStyle.htm">currentStyle</A> and <A href="/workshop/author/dhtml/reference/objects/runtimeStyle.htm">runtimeStyle</A> objects and the <A href="/workshop/author/dhtml/reference/properties/clipBottom.htm">clipBottom</A>, <A href="/workshop/author/dhtml/reference/properties/clipLeft.htm">clipLeft</A>, <A href="/workshop/author/dhtml/reference/properties/clipRight.htm">clipRight</A>, and <A href="/workshop/author/dhtml/reference/properties/clipTop.htm">clipTop</A> properties.</P><P>Authors can retrieve what style has been applied to a particular object through the <B>currentStyle</B> object. It detects all styles that apply to a given object, even values that it inherits from parent elements. Reading the <B>currentStyle</B> object differs from reading the <A HREF="/workshop/author/dhtml/reference/objects/obj_style.htm#obj_style">style</A> object, where style properties are not set inline. In contrast to the <B>currentStyle</B> object, the <B>runtimeStyle</B> object sets and retrieves the format and style of a given object. It overrides existing formats and styles in the process. The <B>runtimeStyle</B> object takes precedence over the <a href="/workshop/author/dhtml/reference/objects/obj_style.htm">style</a> object and does not persist. The <B>runtimeStyle</B> object is otherwise analogous to the the <B>style</B> object.</P>|
|Dynamic properties|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>Dynamic properties make script authoring faster, because they take care of many of the property updates and positioning calculations previously hammered out by Web authors. The <A href="/workshop/author/dhtml/reference/methods/recalc.htm">recalc</A> method recalculates all dynamic properties in the current document. With the help of <B>recalc</B>, authors can dynamically size and position objects on a Web site using the <A href="/workshop/author/dhtml/reference/methods/setExpression.htm">setExpression</A>, <A href="/workshop/author/dhtml/reference/methods/getExpression.htm">getExpression</A>, and <A href="/workshop/author/dhtml/reference/methods/removeExpression.htm">removeExpression</A> methods.  For more information, see <A HREF="/workshop/author/dhtml/overview/recalc.htm">Dynamic Properties</A>.</P>|
|Property monitoring|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>The <a href="/workshop/author/dhtml/reference/properties/propertyName.htm">propertyName</a> property and <a href="/workshop/author/dhtml/reference/events/onpropertychange.htm">onpropertychange</a> event provide a way to retrieve the name of an altered property on an object.</P>|
|Measurement properties|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>The new measurement model properties provide authors with a means for retrieving coordinates and distances within a Web document as well as across a user's screen. The <A href="/workshop/author/dhtml/reference/methods/getBoundingClientRect.htm">getBoundingClientRect</A> method, <A href="/workshop/author/dhtml/reference/collections/text_rectangle.htm">TextRectangle</A> collection, and <A href="/workshop/author/dhtml/reference/properties/bottom.htm">bottom</A>, <A href="/workshop/author/dhtml/reference/properties/left_1.htm">left</A>, <A href="/workshop/author/dhtml/reference/properties/right.htm">right</A> and <A href="/workshop/author/dhtml/reference/properties/top_2.htm">top</A> properties provide page control and management by using the coordinates that describe an object or range layout. Content can be positioned and adjusted based on the client coordinates in Internet Explorer 5. They also can be converted into screen coordinates using the <A href="/workshop/author/dhtml/reference/properties/screenLeft.htm">screenLeft</A> and <A href="/workshop/author/dhtml/reference/properties/screenTop.htm">screenTop</A> properties. Now the Web author can control the position and accessibility of even a single line of text based on its distance from an edge of the client or of the screen.</P>|
|Table enhancements|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>New table properties both enhance performance and visibility, and provide control over table borders. The <A href="/workshop/author/dhtml/reference/properties/tableLayout.htm">tableLayout</A> property drastically cuts the time required to render large tables. Set table layout to <SPAN class=literal>fixed</SPAN> and preset cell height if you want to display data immediately after it is downloaded.</P><P>Dynamically altering a table's rendering capabilities has become easier now that each <A href="/workshop/author/dhtml/reference/objects/TR.htm">table row</A> and <A href="/workshop/author/dhtml/reference/objects/TD.htm">table cell</A> exposes the <A href="/workshop/author/dhtml/reference/properties/display.htm">display</A> property. This implementation makes it straightforward to build collapsible tables. Control over a table's borders using the <A href="/workshop/author/dhtml/reference/properties/borderCollapse.htm">borderCollapse</A> property allows Web authors to generate tables that emulate the thin border lines used in Microsoft&#174; Excel.</P><P>The <A href="/workshop/author/dhtml/reference/properties/tableLayout.htm">tableLayout</A> and <A href="/workshop/author/dhtml/reference/properties/display.htm">display</A> properties, used in a DHTML table, supply the functionality necessary for creating an efficient file or service directory tree.</P>|
|AutoComplete|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P><A HREF="/workshop/author/forms/autocomplete_ovr.htm">AutoComplete</A> safely store information entered into text boxes and password fields using the <A HREF="/workshop/author/dhtml/reference/objects/INPUT.htm">INPUT</A> tag. Storing the information helps users complete single-line text fields. When a form is submitted, the name, value, and domain of the form component are encrypted for safekeeping. The next time the user visits a Web page and begins typing into a text field of the same name, AutoComplete prompts the user with a list of previously used data.</P>|
|Printing|,|Dynamic HTML|,|<a href="/workshop/author/dhtml/dhtml.htm#dhtml_intro"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>Ever want to control printing programmatically? The new print features in Internet Explorer 5 provide just that. There is now a <A HREF="/workshop/author/dhtml/reference/methods/print.htm">print</A> method. In addition, there are two print events, <A HREF="/workshop/author/dhtml/reference/events/onbeforeprint.htm">onbeforeprint</A> and <A HREF="/workshop/author/dhtml/reference/events/onafterprint.htm">onafterprint</A>, that allow the Web developer to modify page content for printing purposes.</P>|
|Search-related features|,|Dynamic HTML|,|<a href="/workshop/networking/wininet/reference/reference.htm"><img src="/workshop/graphics/dhtml.gif" width=37 height=11 border=0></a>|,|<P>The <a href="/workshop/browser/configuration/SearchBarGuide/searchbar_reqs.htm">Windows Search Assistant</a> overview provides information on customizing the Search Bar, which is the primary resource for Internet Explorer search-related features. New DHTML features provide information to help developers add items to the Search Bar.</P>|
|Offline favorites|,|Internet Explorer Configuration|,|<a href="/workshop/delivery/offline/linkrel.htm"><img src="/workshop/graphics/c++.gif" width=22 height=11 border=0></a>|,|<P>The article <A HREF="/workshop/delivery/offline/linkrel.htm">Enhancing Offline Favorites</A> discusses how to make smarter offline favorites. When a Web page specifies a relationship to a CDF file, that CDF file in turn will specify which additional pages to precache when a user adds the page to favorites and chooses "Make available offline." By specifying pages to go offline with a Web page, authors can provide users access to a meaningful subset of related content. This feature can't help but enhance the experience for users viewing content offline.</P>|
|Importing and exporting favorites|,|Internet Explorer Configuration|,|<a href="/workshop/browser/external/overview/roaming.htm"><img src="/workshop/graphics/c++.gif" width=22 height=11 border=0></a>|,|<P>Internet Explorer has long provided a way to save your favorite Internet URLs. However, if you have more than one computer, you are likely juggling two different lists of favorite sites. With Internet Explorer 5, an Internet service provider (ISP) using the <A HREF="/workshop/browser/external/overview/roaming.htm">importing and exporting favorites</A> feature can allow end users to upload their favorites to the ISP site and thereafter import or export their single favorites list as a file. </P>|
|Browser extensions|,|C++|,|<a href="/workshop/browser/ext/extensions.htm"><img src="/workshop/graphics/c++.gif" width=22 height=11 border=0></a>|,|<P>Browser extensions allow developers to provide easy access to their browser enhancements by adding elements, like an Explorer Bar, to the default user interface. Introduced in Internet Explorer 4.0, this feature enables developers to create Explorer Bars and add entries into the standard context menus. Beginning with Internet Explorer 5, this feature allows developers to add entries into the Tools menu and buttons to the toolbar.</P>|
|Client registry layout|,|Internet Explorer Configuration|,|<a href="/workshop/networking/wininet/reference/reference.htm"><img src="/workshop/graphics/c++.gif" width=22 height=11 border=0></a>|,|<P>Customizing the New entry on the File menu in Internet Explorer is easier with this overview on the <A href="/workshop/browser/configuration/ClientReg/ClientRegistryLayout.htm">Client Registry Layout</A>. New in this article are instructions for adding a default HTML editor to the registry so that it will be listed in the File menu and display as a button on the toolbar.</P>|
|Win32 Internet functions|,|C++|,|<a href="/workshop/networking/wininet/reference/reference.htm"><img src="/workshop/graphics/c++.gif" width=22 height=11 border=0></a>|,|<P>New overviews and tutorials covering the use of the asynchronous Win32 Internet functions are available.</P><ul> <li><a href="/workshop/networking/wininet/overview/async.htm">Utilizing the Win32 Internet Functions Asynchronously</a> offers a detailed overview that includes coverage of the simultaneous download of multiple Internet resources. This increases performance in applications and allows an application to monitor the progress of the download.</LI> <li><a href="/workshop/networking/wininet/tutorials/create_callback.htm">Creating Status Callback Functions</a> describes functions that can monitor the status of an Internet request that was initiated using the Win32 Internet functions.</LI><li><a href="/workshop/networking/wininet/tutorials/http_headers.htm">Retrieving HTTP Headers</a> details how to retrieve header information from HTTP requests by applications using Win32 Internet functions.</LI></UL><P>The new Win32 Internet functions support a variety of cache management procedures, including <a href="/workshop/networking/wininet/reference/functions/FindFirstUrlCacheGroup.htm">FindFirstUrlCacheGroup</a>, <a href="/workshop/networking/wininet/reference/functions/FindNextUrlCacheGroup.htm">FindNextUrlCacheGroup</a>, <a href="/workshop/networking/wininet/reference/functions/GetUrlCacheGroupAttribute.htm">GetUrlCacheGroupAttribute</a>, and <a href="/workshop/networking/wininet/reference/functions/SetUrlCacheGroupAttribute.htm">SetUrlCacheGroupAttribute</a>. The <a href="/workshop/networking/wininet/reference/functions/InternetGetConnectedStateEx.htm">InternetGetConnectedStateEx</a> function retrieves the connected state of the specified Internet connection. The new <a href="/workshop/networking/wininet/reference/functions/FtpCommand.htm">FtpCommand</A> function allows an application to send commands directly to an FTP server. And the <a href="/workshop/networking/wininet/reference/functions/FtpGetFileSize.htm">FtpGetFileSize</A> function retrieves the file size of the requested FTP resource.<P>Unicode support is now provided in many of the Win32 Internet functions and structures.</P>|
|MLang|,|COM|,|<img src="/workshop/graphics/com.gif" width=26 height=11>|,|<P><a href="/workshop/misc/mlang/mlang.htm">MLang</a> is a COM component that helps Internet products function better in the international market. Many new methods are shipping in Internet Explorer 5.</P>|
|Internet priority|,|COM|,|<img src="/workshop/graphics/com.gif" width=26 height=11>|,|<P>The <a href="/workshop/networking/pluggable/reference/IFaces/IInternetPriority/IInternetPriority.htm">IInternetPriority</a> interface provides a way to set the request priority being sent to a pluggable protocol handler. Request priorities can be set with the <a href="/workshop/networking/pluggable/reference/IFaces/IInternetPriority/SetPriority.htm">SetPriority</a> method and retrieved with the <a href="/workshop/networking/pluggable/reference/IFaces/IInternetPriority/GetPriority.htm">GetPriority</a> method. </P>|
|Extensible Style Language support|,|XSL|,|<a href="/xml/reference/xsl/start.htm"><img src="/workshop/graphics/xml-sm.gif" width=36 height=11 border=0></a>|,|<P>With the <a href="/xml/reference/xsl/start.htm">Microsoft Extensible Style Language (XSL)</A> processor, based on the latest W3C Working Draft, developers can apply style sheets to XML data and display the data in a dynamic and flexible way that can be easily customized. The querying capabilities of the Microsoft XSL processor also allow developers to programmatically find and extract information within an XML data set on the client or the server.</P>|
|XML Schemas|,|XML|,|<a href="/xml/reference/schema/start.htm"><img src="/workshop/graphics/xml-sm.gif" width=36 height=11 border=0></a>|,|<P><a href="/xml/reference/schema/start.htm">Schemas</A> define the rules of an XML document, including element names and rich data types, which elements can appear in combination, and which attributes are available for each element. To enable multi-tier applications, Microsoft will be releasing a technology preview for XML Schema based on the Schema submissions to the W3C XML working group.</P>|
|Server-side XML|,|XML|,|<a href="/xml/general/Overview.htm"><img src="/workshop/graphics/xml-sm.gif" width=36 height=11 border=0></a>|,|<P>Server-side XML processing allows XML to be used as a standard means of passing data between multiple distributed application servers&#151;even across operating system boundaries. Fore more information, see the <a href="/xml/general/Overview.htm">XML</A> overview.</P>|
|XML document object model|,|XML|,|<a href="/xml/reference/xmldom/start.htm"><img src="/workshop/graphics/xml-sm.gif" width=36 height=11 border=0></a>|,|<P>The <a href="/xml/reference/xmldom/start.htm">XML Document Object Model</A> (DOM) is a standard object application programming interface that gives developers programmatic control of XML document content, structure, formats, and more. The Microsoft XML implementation includes full support for the W3C XML DOM Recommendation and is accessible from script, the Microsoft&#174; Visual Basic&#174; development system, C++, and other languages.</P>|
|C++ XML Data Source Object|,|XML|,|<a href="/xml"><img src="/workshop/graphics/xml-sm.gif" width=36 height=11 border=0></a>|,|<P>This XML Data Source Object (DSO) allows you to bind HTML elements directly to an XML data island. In addition, it has increased performance, has a greater ability to bind to various XML nodes, and takes advantage of all the new databound features within Internet Explorer 5.</P>|
