ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|SELECTEDINDEX|,|selectedIndex|,|/workshop/author/behaviors/library/mpc/selectedIndex.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the selected tab of the mpc behavior.|
|TABTEXT|,|tabText|,|/workshop/author/behaviors/library/mpc/tabText.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the text displayed in the multipage tab of the mpc behavior.|
|TABTITLE|,|tabTitle|,|/workshop/author/behaviors/library/mpc/tabTitle.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the text displayed as a ToolTip in the multipage tab of the mpc behavior.|
|null|,|onchange|,|/workshop/author/behaviors/library/mpc/onchange.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when a tab is selected for the mpc behavior.|
|null|,|onfocus|,|/workshop/author/behaviors/library/mpc/onfocus.htm|,8,|null|,|/workshop/graphics/event.gif|,1,|Fires when a tab is selected for the mpc behavior.|
