ClearEventLog,new,Ansi and Unicode,N,advapi32.lib
ClientThreadConnect,new,,N,user32.lib
ClientToScreen,widened,,Y,user32.lib
ClipCursor,widened,,Y,user32.lib
CloseClipboard,widened,,Y,user32.lib
CloseComm,dropped,,N,
CloseConsoleHandle,new,,N,kernel32.lib
CloseDesktop,new,,N,user32.lib
CloseDriver,dropped,,N,
CloseEnhMetaFile,new,,N,gdi32.lib
CloseEventLog,new,,N,advapi32.lib
CloseFigure,new,,N,gdi32.lib
CloseHandle,new,,Y,kernel32.lib
CloseMetaFile,widened,,Y,gdi32.lib
ClosePrinter,new,,N,winspool.lib
CloseProfileUserMapping,new,,N,kernel32.lib
CloseServiceHandle,new,,N,advapi32.lib
closesocket,new,,Y,wsock32.lib
CloseSound,dropped,,N,
CloseWindow,widened,,Y,user32.lib
CombineRgn,widened,,Y,gdi32.lib
CombineTransform,new,,N,gdi32.lib
CommDlgExtendedError,widened,,Y,comdlg32.lib
CompareFileTime,new,,Y,kernel32.lib
CompareStringW,new,Ansi and Unicode,N,kernel32.lib
ConfigurePort,new,Ansi and Unicode,N,winspool.lib
connect,new,,Y,wsock32.lib
ConnectNamedPipe,new,,N,kernel32.lib
ContinueDebugEvent,new,,Y,kernel32.lib
ControlService,new,,N,advapi32.lib
ConvertRequest,widened,,N,macro
CopyAcceleratorTable,new,Ansi and Unicode,N,user32.lib
CopyCursor,new,,Y,macro
CopyEnhMetaFile,new,Ansi and Unicode,N,gdi32.lib
CopyFile,new,Ansi and Unicode,Y,kernel32.lib
CopyIcon,new,,Y,user32.lib
CopyLZFile,widened,,Y,lz32.lib
CopyMetaFile,widened,Ansi and Unicode,Y,gdi32.lib
CopyRect,widened,,Y,user32.lib
CopySid,new,,N,advapi32.lib
CountClipboardFormats,widened,,Y,user32.lib
CountVoiceNotes,dropped,,N,
CreateAcceleratorTable,new,Ansi and Unicode,N,user32.lib
CreateBitmap,widened,,Y,gdi32.lib
CreateBitmapIndirect,widened,,Y,gdi32.lib
CreateBrushIndirect,widened,,Y,gdi32.lib
CreateCaret,widened,,Y,user32.lib
CreateCompatibleBitmap,widened,,Y,gdi32.lib
CreateCompatibleDC,widened,,Y,gdi32.lib
CreateConsoleScreenBuffer,new,,N,kernel32.lib
CreateCursor,widened,,Y,user32.lib
CreateDC,widened,Ansi and Unicode,Y,gdi32.lib
CreateDialog,widened,,Y,macro
CreateDialogIndirect,widened,,Y,macro
CreateDialogIndirectParam,widened,Ansi and Unicode,Y,user32.lib
CreateDialogParam,widened,Ansi and Unicode,Y,user32.lib
CreateDIBitmap,widened,,Y,gdi32.lib
CreateDIBPatternBrush,widened,,Y,gdi32.lib
CreateDIBPatternBrushPt,new,,N,gdi32.lib
CreateDIBSection,new,,N,macro
CreateDirectory,new,Ansi and Unicode,Y,kernel32.lib
CreateDirectoryEx,new,Ansi and Unicode,Y,kernel32.lib
CreateDiscardableBitmap,widened,,Y,gdi32.lib
CreateEllipticRgn,widened,,Y,gdi32.lib
CreateEllipticRgnIndirect,widened,,Y,gdi32.lib
CreateEnhMetaFile,new,Ansi and Unicode,N,gdi32.lib
CreateEvent,new,Ansi and Unicode,N,kernel32.lib
CreateFile,new,Ansi and Unicode,Y,kernel32.lib
CreateFileMapping,new,Ansi and Unicode,Y,kernel32.lib
CreateFont,widened,Ansi and Unicode,Y,gdi32.lib
CreateFontIndirect,widened,Ansi and Unicode,Y,gdi32.lib
CreateHalftonePalette,new,,N,gdi32.lib
CreateHatchBrush,widened,,Y,gdi32.lib
CreateIC,widened,Ansi and Unicode,Y,gdi32.lib
CreateIcon,widened,,Y,user32.lib
CreateIconFromResource,new,,N,user32.lib
CreateIconIndirect,new,,N,user32.lib
CreateMailslot,new,Ansi and Unicode,N,kernel32.lib
CreateMDIWindow,new,Ansi and Unicode,N,user32.lib
CreateMenu,widened,,Y,user32.lib
CreateMetaFile,widened,Ansi and Unicode,Y,gdi32.lib
CreateMutex,new,Ansi and Unicode,N,kernel32.lib
CreateNamedPipe,new,Ansi and Unicode,N,kernel32.lib
CreatePalette,widened,,Y,gdi32.lib
CreatePatternBrush,widened,,Y,gdi32.lib
CreatePen,widened,,Y,gdi32.lib
CreatePenIndirect,widened,,Y,gdi32.lib
CreatePipe,new,,N,kernel32.lib
CreatePolygonRgn,widened,,Y,gdi32.lib
CreatePolyPolygonRgn,widened,,Y,gdi32.lib
CreatePopupMenu,widened,,Y,user32.lib
CreatePrivateObjectSecurity,new,,N,advapi32.lib
CreateProcess,new,Ansi and Unicode,Y,kernel32.lib
CreateRectRgn,widened,,Y,gdi32.lib
CreateRectRgnIndirect,widened,,Y,gdi32.lib
CreateRemoteThread,new,,N,kernel32.lib
CreateRoundRectRgn,widened,,Y,gdi32.lib
CreateScalableFontResource,widened,Ansi and Unicode,Y,gdi32.lib
CreateSemaphore,new,Ansi and Unicode,N,kernel32.lib
CreateService,new,Ansi and Unicode,N,advapi32.lib
CreateSolidBrush,widened,,Y,gdi32.lib
CreateTapePartition,new,,N,kernel32.lib
CreateThread,new,,N,kernel32.lib
CreateUserObjectSecurity,new,,N,macro
CreateWindow,widened,,Y,macro
CreateWindowEx,widened,Ansi and Unicode,Y,user32.lib
data_from_ndr,new,,N,rpcrt4.lib
data_into_ndr,new,,N,rpcrt4.lib
data_size_ndr,new,,N,rpcrt4.lib
DdeAbandonTransaction,widened,,Y,user32.lib
DdeAccessData,widened,,Y,user32.lib
DdeAddData,widened,,Y,user32.lib
DdeClientTransaction,widened,,Y,user32.lib
DdeCmpStringHandles,widened,,Y,user32.lib
DdeConnect,widened,,Y,user32.lib
DdeConnectList,widened,,Y,user32.lib
DdeCreateDataHandle,widened,,Y,user32.lib
DdeCreateStringHandle,widened,Ansi and Unicode,Y,user32.lib
DdeDisconnect,widened,,Y,user32.lib
DdeDisconnectList,widened,,Y,user32.lib
DdeEnableCallback,widened,,Y,user32.lib
DdeFreeDataHandle,widened,,Y,user32.lib
DdeFreeStringHandle,widened,,Y,user32.lib
DdeGetData,widened,,Y,user32.lib
DdeGetLastError,widened,,Y,user32.lib
DdeImpersonateClient,new,,N,user32.lib
DdeInitialize,widened,Ansi and Unicode,Y,user32.lib
DdeKeepStringHandle,widened,,Y,user32.lib
DdeNameService,widened,,Y,user32.lib
DdePostAdvise,widened,,Y,user32.lib
