ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|DATASRC|,|dataSrc|,|/workshop/author/dhtml/reference/properties/dataSrc.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the source of the data for data binding.|
|DIR|,|dir|,|/workshop/author/dhtml/reference/properties/dir.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the reading order of the &lt;BODY&gt;.|
|null|,|firstChild|,|/workshop/author/dhtml/reference/properties/firstChild.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the first child in the <a href="/workshop/author/dhtml/reference/collections/childNodes.htm">childNodes</a> collection of the &lt;BODY&gt;.|
|ID|,|id|,|/workshop/author/dhtml/reference/properties/id.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Retrieves the string identifying the &lt;BODY&gt;.|
|null|,|innerHTML|,|/workshop/author/dhtml/reference/properties/innerHTML.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the HTML between the start and end tags of the &lt;BODY&gt;.|
|null|,|innerText|,|/workshop/author/dhtml/reference/properties/innerText.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the text between the start and end tags of the &lt;BODY&gt;.|
|null|,|isTextEdit|,|/workshop/author/dhtml/reference/properties/isTextEdit.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,11,|Retrieves whether a <A HREF="/workshop/author/dhtml/reference/objects/obj_TextRange.htm">TextRange</A> &lt;BODY&gt; can be created using the given object.|
|LANG|,|lang|,|/workshop/author/dhtml/reference/properties/lang.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the language to use.|
|LANGUAGE|,|language|,|/workshop/author/dhtml/reference/properties/language.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the language in which the current script is written.|
|null|,|lastChild|,|/workshop/author/dhtml/reference/properties/lastChild.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the last child in the <a href="/workshop/author/dhtml/reference/collections/childNodes.htm">childNodes</a> collection of an object.|
|LEFTMARGIN|,|leftMargin|,|/workshop/author/dhtml/reference/properties/leftMargin.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the left margin for the entire body of the page, overriding the default margin.|
|LINK|,|link|,|/workshop/author/dhtml/reference/properties/link_1.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the color of the document links for the &lt;BODY&gt;.|
|null|,|nextSibling|,|/workshop/author/dhtml/reference/properties/nextSibling.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the next child of the parent for the specified object.|
|null|,|nodeName|,|/workshop/author/dhtml/reference/properties/nodeName.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,8,|Retrieves the name of a particular type of node.|
|null|,|nodeType|,|/workshop/author/dhtml/reference/properties/nodeType.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the type of the requested node.|
|null|,|nodeValue|,|/workshop/author/dhtml/reference/properties/nodeValue.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,8,|Sets or retrieves the value of a node.|
|NOWRAP|,|noWrap|,|/workshop/author/dhtml/reference/properties/noWrap.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,11,|Sets or retrieves whether the browser automatically performs wordwrap.|
|null|,|offsetHeight|,|/workshop/author/dhtml/reference/properties/offsetHeight.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the height of the &lt;BODY&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|offsetLeft|,|/workshop/author/dhtml/reference/properties/offsetLeft.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the calculated left position of the &lt;BODY&gt; relative to the layout or coordinate parent, as specified by the <a href="/workshop/author/dhtml/reference/properties/offsetParent.htm">offsetParent</a> property.|
|null|,|offsetParent|,|/workshop/author/dhtml/reference/properties/offsetParent.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,9,|Retrieves a reference to the container object that defines the <A HREF="/workshop/author/dhtml/reference/properties/offsetTop.htm">offsetTop</A> and <A HREF="/workshop/author/dhtml/reference/properties/offsetLeft.htm">offsetLeft</A> properties of the object.|
