ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|back|,|/workshop/author/dhtml/reference/methods/back.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Loads a URL from the History list.|
|null|,|forward|,|/workshop/author/dhtml/reference/methods/forward.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Loads the next URL in the History list.|
|null|,|go|,|/workshop/author/dhtml/reference/methods/go.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Loads a URL from the History list.|
|null|,|length|,|/workshop/author/dhtml/reference/properties/length.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,22,|Retrieves the number of objects in a collection.|
