ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|null|,|enabled|,|/workshop/author/filter/reference/properties/enabled.htm|,6,|null|,|/workshop/graphics/prop_rw.gif|,11,|Sets or retrieves whether the filter is currently enabled.|
|FINISHOPACITY|,|finishOpacity|,|/workshop/author/filter/reference/properties/finishOpacity.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the opacity level.|
|FINISHX|,|finishX|,|/workshop/author/filter/reference/properties/finishX.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the x-coordinate of the point at which the opacity gradient ends.|
|FINISHY|,|finishY|,|/workshop/author/filter/reference/properties/finishY.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the y-coordinate of the point at which the opacity gradient ends.|
|OPACITY|,|opacity|,|/workshop/author/filter/reference/properties/opacity.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the opacity level.|
|STARTX|,|startX|,|/workshop/author/filter/reference/properties/startX.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the x-coordinate of the point at which the opacity gradient starts.|
|STARTY|,|startY|,|/workshop/author/filter/reference/properties/startY.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the y-coordinate of the point at which the opacity gradient starts.|
|STYLE|,|style|,|/workshop/author/filter/reference/properties/style.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,22,|Sets or retrieves the shape characteristics of the opacity gradient.|
