ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string
|HOVERSOUND|,|hoverSound|,|/workshop/author/behaviors/library/soundrollover/hoverSound.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Specifies the audio file to play when the mouse cursor moves over the &lt;soundRollover&gt;.|
|PRESSEDSOUND|,|pressedSound|,|/workshop/author/behaviors/library/soundrollover/pressedSound.htm|,6,|/workshop/graphics/attribute.gif|,|/workshop/graphics/prop_rw.gif|,8,|Specifies the audio file to play when the &lt;soundRollover&gt; is clicked.|
