ref_persistent:string,ref_dynamic:string,ref_link:string,invoke_kind:INT,pers_icon:string,dyn_icon:string,datatype:INT,ref_desc:string,proposed:INT
|null|,|item|,|/xml/reference/scriptref/XMLDOMNodeList_item.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Allows random access to individual nodes within the collection.|,0
|null|,|nextNode|,|/xml/reference/scriptref/XMLDOMNodeList_nextNode.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Returns the next node in the collection.|,1
|null|,|reset|,|/xml/reference/scriptref/XMLDOMNodeList_reset.htm|,1,|null|,|/workshop/graphics/method.gif|,1,|Resets the iterator.|,1
|null|,|length|,|/xml/reference/scriptref/XMLDOMNodeList_length.htm|,2,|null|,|/workshop/graphics/prop_ro.gif|,1,|Indicates the number of items in the collection.|,0
